flight_date,carrier_code,total_flights,cancelled_flights,diverted_flights,delayed_dep_flights_count,delayed_arr_flights_count,avg_dep_delay_mins,avg_arr_delay_mins,total_carrier_delay_mins,total_weather_delay_mins,total_nas_delay_mins,total_security_delay_mins,total_late_aircraft_delay_mins,avg_carrier_delay_mins,avg_weather_delay_mins,avg_nas_delay_mins,avg_security_delay_mins,avg_late_aircraft_delay_mins
2026-05-19,QF,4681,71.0,20.0,918.0,873.0,13.30420850245674,13.844904934842983,19202.0,6445.0,16053.0,0.0,22320.0,21.995418098510882,7.382588774341352,18.388316151202748,0.0,25.567010309278352
2026-06-05,QF,4618,66.0,25.0,903.0,919.0,13.417063663923777,15.051970550021654,20584.0,6902.0,17220.0,0.0,23943.0,22.398258977149077,7.5103373231773665,18.737758433079435,0.0,26.053318824809576
2026-06-21,QF,4523,62.0,26.0,840.0,892.0,12.818262215343799,14.493698872429803,19423.0,6506.0,16267.0,0.0,22608.0,21.774663677130047,7.29372197309417,18.236547085201792,0.0,25.345291479820627
2026-07-07,LH,691,9.0,2.0,124.0,164.0,13.477568740955137,17.981186685962374,3718.0,1240.0,3114.0,0.0,4339.0,22.670731707317074,7.560975609756097,18.98780487804878,0.0,26.45731707317073
2026-05-30,QF,4577,87.0,30.0,870.0,900.0,13.22438278348263,14.410093948000874,19547.0,6557.0,16350.0,0.0,22732.0,21.718888888888888,7.285555555555556,18.166666666666668,0.0,25.25777777777778
2026-06-19,QF,4508,64.0,24.0,823.0,843.0,12.104702750665483,13.729813664596273,18288.0,6125.0,15307.0,0.0,21256.0,21.693950177935942,7.265717674970344,18.157769869513643,0.0,25.214709371293
2026-04-22,DL,1074,19.0,5.0,203.0,202.0,12.80074487895717,14.351024208566107,4540.0,1522.0,3787.0,0.0,5280.0,22.475247524752476,7.534653465346534,18.747524752475247,0.0,26.138613861386137
2026-05-17,QF,4541,74.0,16.0,911.0,879.0,13.76701167143801,14.849372384937238,20031.0,6704.0,16745.0,0.0,23298.0,22.78839590443686,7.626848691695108,19.050056882821387,0.0,26.505119453924916
2026-05-11,QF,4590,77.0,19.0,876.0,935.0,13.054248366013072,14.809803921568628,20219.0,6781.0,16929.0,0.0,23522.0,21.624598930481284,7.252406417112299,18.105882352941176,0.0,25.157219251336898
2026-05-31,DL,1050,15.0,9.0,194.0,177.0,13.564761904761905,13.081904761904761,4051.0,1364.0,3384.0,0.0,4714.0,22.887005649717516,7.706214689265536,19.11864406779661,0.0,26.63276836158192
